step,user.self,sys.self,elapsed,plot_type
TOTAL,0.1399999999999988,0.9199999999999999,1.0600000000000023,BaseR
construct,0,0.009999999999999787,0.28000000000000114,lg_sctr
build,0.0600000000000005,0,0.06999999999999318,lg_sctr
render,0.3000000000000007,0,0.29999999999999716,lg_sctr
draw,0.34999999999999964,1.8200000000000003,2.760000000000005,lg_sctr
TOTAL,0.7100000000000009,1.83,3.4099999999999966,lg_sctr
construct,0,0,0,sm_sctr
build,0.009999999999999787,0,0.01999999999999602,sm_sctr
render,0.05999999999999872,0,0.060000000000002274,sm_sctr
draw,0.07000000000000028,0.03999999999999915,0.20000000000000284,sm_sctr
TOTAL,0.1399999999999988,0.03999999999999915,0.28000000000000114,sm_sctr
construct,0,0,0.4900000000000091,trans
build,0.07000000000000028,0,0.0799999999999983,trans
render,0.3000000000000007,0,0.29999999999999716,trans
draw,0.3600000000000012,1.7899999999999991,2.719999999999999,trans
TOTAL,0.7300000000000022,1.7899999999999991,3.5900000000000034,trans
construct,0,0,0,many_axis
build,0.0600000000000005,0,0.060000000000002274,many_axis
render,0.1899999999999995,0.019999999999999574,0.21000000000000796,many_axis
draw,0.4100000000000019,1.7799999999999994,2.789999999999992,many_axis
TOTAL,0.6600000000000019,1.799999999999999,3.0600000000000023,many_axis
construct,0.019999999999999574,0,0.009999999999990905,no_lgd
build,0.14999999999999858,0,0.1599999999999966,no_lgd
render,0.08999999999999986,0.009999999999999787,0.10999999999999943,no_lgd
draw,0.39000000000000057,1.9100000000000001,2.8799999999999955,no_lgd
TOTAL,0.6499999999999986,1.92,3.1599999999999824,no_lgd
construct,0,0,0,sm_lgd_d
build,0.10999999999999943,0,0.11000000000001364,sm_lgd_d
render,0.3099999999999987,0.009999999999999787,0.3299999999999841,sm_lgd_d
draw,0.46999999999999886,1.75,2.7600000000000193,sm_lgd_d
TOTAL,0.889999999999997,1.7599999999999998,3.200000000000017,sm_lgd_d
construct,0.00999999999999801,0,0.009999999999990905,lg_lgd_d
build,0.08999999999999986,0,0.09000000000000341,lg_lgd_d
render,0.19000000000000128,0.02000000000000135,0.22999999999998977,lg_lgd_d
draw,0.5,1.8900000000000006,2.969999999999999,lg_lgd_d
TOTAL,0.7899999999999991,1.910000000000002,3.299999999999983,lg_lgd_d
construct,0.019999999999999574,0,0.020000000000010232,lgd_c
build,0.10999999999999943,0,0.11000000000001364,lgd_c
render,0.14000000000000057,0,0.13999999999998636,lgd_c
draw,0.41999999999999815,1.75,2.7900000000000205,lgd_c
TOTAL,0.6899999999999977,1.75,3.0600000000000307,lgd_c
construct,0.00999999999999801,0,0.020000000000010232,fct_5
build,0.10999999999999943,0,0.11000000000001364,fct_5
render,0.3299999999999983,0,0.3400000000000034,fct_5
draw,0.5399999999999991,1.7199999999999989,2.7900000000000205,fct_5
TOTAL,0.9899999999999949,1.7199999999999989,3.2600000000000477,fct_5
construct,0,0,0,fct_35
build,0.21999999999999886,0,0.21999999999999886,fct_35
render,0.6300000000000026,0,0.6599999999999966,fct_35
draw,0.6099999999999994,1.8500000000000014,3.030000000000001,fct_35
TOTAL,1.4600000000000009,1.8500000000000014,3.9099999999999966,fct_35
construct,0,0,0,ht_map
build,0.00999999999999801,0,0.009999999999990905,ht_map
render,0.08999999999999986,0,0.09999999999999432,ht_map
draw,0.05999999999999872,0.09999999999999787,0.4399999999999977,ht_map
TOTAL,0.1599999999999966,0.09999999999999787,0.549999999999983,ht_map
construct,0,0,0,lyr2
build,0.21000000000000085,0.019999999999999574,0.21999999999999886,lyr2
render,0.25,0,0.25,lyr2
draw,0.41000000000000014,1.7600000000000016,2.780000000000001,lyr2
TOTAL,0.870000000000001,1.7800000000000011,3.25,lyr2
construct,0.010000000000001563,0,0.01999999999998181,lyr3
build,23.09,0.05999999999999872,23.50999999999999,lyr3
render,0.22999999999999687,0.019999999999999574,0.28000000000000114,lyr3
draw,0.4799999999999969,1.7300000000000004,2.75,lyr3
TOTAL,23.809999999999995,1.8099999999999987,26.559999999999974,lyr3
construct,0,0,0,hist
build,0.13000000000000256,0,0.12999999999999545,hist
render,0.1699999999999946,0,0.17000000000001592,hist
draw,0.14000000000000057,0,0.6999999999999886,hist
TOTAL,0.4399999999999977,0,1,hist
construct,0,0,0,hist_dg
build,0.12000000000000455,0,0.12000000000000455,hist_dg
render,0.13000000000000256,0,0.1599999999999966,hist_dg
draw,0.11999999999999744,0,0.12000000000000455,hist_dg
TOTAL,0.37000000000000455,0,0.4000000000000057,hist_dg
construct,0,0.030000000000001137,0.10999999999998522,hist_mny_bns
build,0.21999999999999886,0,0.6999999999999886,hist_mny_bns
render,0.14000000000000057,0,0.13999999999998636,hist_mny_bns
draw,0.13000000000000256,0,0.12000000000000455,hist_mny_bns
TOTAL,0.490000000000002,0.030000000000001137,1.0699999999999648,hist_mny_bns
construct,0.00999999999999801,0,0.09000000000000341,maps_us
build,0.05000000000000426,0,0.5,maps_us
render,0.030000000000001137,0.019999999999999574,0.03999999999999204,maps_us
draw,0.0799999999999983,0.019999999999999574,0.6700000000000159,maps_us
TOTAL,0.1700000000000017,0.03999999999999915,1.3000000000000114,maps_us
construct,0,0,0,maps_sts
build,0.030000000000001137,0,0.030000000000001137,maps_sts
render,0.07000000000000028,0,0.0800000000000125,maps_sts
draw,0.0799999999999983,0.00999999999999801,0.6599999999999966,maps_sts
TOTAL,0.17999999999999972,0.00999999999999801,0.7700000000000102,maps_sts
construct,0,0,0,sf_many
build,0.060000000000002274,0,0.060000000000002274,sf_many
render,0.04999999999999716,0,0.060000000000002274,sf_many
draw,0.060000000000002274,0.11000000000000298,0.789999999999992,sf_many
TOTAL,0.1700000000000017,0.11000000000000298,0.9099999999999966,sf_many
